"#","source","filename","r2_key","r2_public_url","status","size_kb"
"1","products/4fd82a75-40cc-4b2f-b1a4-53adffdddd5d — ""Louis Vuitton Party Square""","1780685460843_dsi37.JPG","nyvarastore/products/1780685460843_dsi37.JPG","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780685460843_dsi37.JPG","copied","2284.8"
"2","products/d1c4ce54-ed0d-4054-a3b2-bb7fdef6590b — ""Lunette - Saint Laurent ""","1780855079330_gtgq4.webp","nyvarastore/products/1780855079330_gtgq4.webp","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780855079330_gtgq4.webp","copied","9.0"
"3","products/8fe05088-311b-47dd-b1ff-3a8b845af51e — ""CAVALLI — Serpent Dégradé""","1780455746872_90eo3f.jpg","nyvarastore/products/1780455746872_90eo3f.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780455746872_90eo3f.jpg","copied","45.5"
"4","products/fdd00831-d437-4fef-8b04-951a5667fbfa — ""VERSACE — Greca ""","1780455990738_9dgt84.jpg","nyvarastore/products/1780455990738_9dgt84.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780455990738_9dgt84.jpg","copied","41.7"
"5","products/2987d1de-28c1-4b11-8dc4-1d7aeb31b85c — ""Lunettes""","1780025836849_kvau6.jpeg","nyvarastore/products/1780025836849_kvau6.jpeg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780025836849_kvau6.jpeg","copied","2108.2"
"6","products/215f6fed-5d22-4e60-bf4b-07716481279c — ""Lunette maybakh ""","1780023441466_46n2bd.jpeg","nyvarastore/products/1780023441466_46n2bd.jpeg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780023441466_46n2bd.jpeg","copied","2045.7"
"7","products/879fd05f-1578-4ffb-aea0-d5a4bd957a9d — ""Lunettes cartier""","1780023855768_jqg0t.jpeg","nyvarastore/products/1780023855768_jqg0t.jpeg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780023855768_jqg0t.jpeg","copied","2039.2"
"8","products/d5fbb491-3f58-4e15-a49e-339bc2cdc0e8 — ""Lunettes  miu miu round ""","1780025335189_r308xm.jpeg","nyvarastore/products/1780025335189_r308xm.jpeg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780025335189_r308xm.jpeg","copied","1665.4"
"9","products/6d41f0e7-5eb3-486c-b4cf-fcb2f98aa28b — ""Lunettes  Channel""","1780025651385_ypzlt8.jpeg","nyvarastore/products/1780025651385_ypzlt8.jpeg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780025651385_ypzlt8.jpeg","copied","1998.6"
"10","products/33318058-8c10-4df0-ac90-fdeaa5071a5a — ""Maybach Flat Top Square ""","1780855763109_3w0gy.webp","nyvarastore/products/1780855763109_3w0gy.webp","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780855763109_3w0gy.webp","copied","16.7"
"11","products/2c047f77-53b4-4cdd-82ce-1649c091f834 — ""Lunettes de Soleil MAYBACH""","1780454244921_zn1uyi.jpg","nyvarastore/products/1780454244921_zn1uyi.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780454244921_zn1uyi.jpg","copied","43.3"
"12","products/755f91f2-c272-49d8-9908-ab99eee7e32d — ""Monture Miu Miu Glimmer""","1780453707896_bpxttg.webp","nyvarastore/products/1780453707896_bpxttg.webp","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780453707896_bpxttg.webp","copied","15.8"
"13","products/90968909-f06e-4bac-b725-a70ae494fbd3 — ""DITA – Noon""","1780692350429_i9a7bh.JPG","nyvarastore/products/1780692350429_i9a7bh.JPG","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780692350429_i9a7bh.JPG","copied","2136.0"
"14","products/b845d22c-c2a2-406e-98cf-1239cfaf01a6 — ""R-B style AeroSquare G-15""","1778758924522_e3ob.jpeg","nyvarastore/products/1778758924522_e3ob.jpeg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1778758924522_e3ob.jpeg","copied","2077.5"
"15","products/e9375f8d-333d-42cf-8512-3afa0ef41dd4 — ""verra prestige ""","1780684227217_41uhbv.JPG","nyvarastore/products/1780684227217_41uhbv.JPG","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780684227217_41uhbv.JPG","copied","1977.9"
